Edge1-Edge2	KappaScore
GO:0031399 (term-term-ontology) GO:0001932	2.0
GO:0031401 (term-term) GO:0001932	0.7154448796866255
GO:0031401 (term-term) GO:0001934	0.7736866430442149
GO:0031401 (term-term) GO:0006468	0.5878505848320965
GO:0031401 (term-term) GO:0010562	0.7834291611381395
GO:0031401 (term-term) GO:0019220	0.690168429298864
GO:0031401 (term-term) GO:0031396	0.46986647419704064
GO:0031401 (term-term) GO:0031399	0.8616891064871479
GO:0031401 (term-term-ontology) GO:0001934	2.0
GO:0031401 (term-term-ontology) GO:0031399	2.0
GO:0032774 (term-term) GO:0003700	0.5132927372642211
GO:0032774 (term-term) GO:0006351	1.0
GO:0032774 (term-term) GO:0006355	0.990957829879171
GO:0032774 (term-term) GO:0006357	0.7810925997675318
GO:0032774 (term-term) GO:0006366	0.7895716945996277
GO:0032774 (term-term) GO:0009059	0.88016967126193
GO:0032774 (term-term) GO:0009889	0.8523117137722594
GO:0032774 (term-term) GO:0009891	0.5916814023218268
GO:0032774 (term-term) GO:0010468	0.7175941352882373
GO:0032774 (term-term) GO:0010556	0.8711306614532421
GO:0032774 (term-term) GO:0010557	0.6100759144237405
GO:0032774 (term-term) GO:0010604	0.41412832145171746
GO:0032774 (term-term) GO:0016070	0.8233939294233774
GO:0032774 (term-term) GO:0018130	0.9360084135587737
GO:0032774 (term-term) GO:0019219	0.8048038167311014
GO:0032774 (term-term) GO:0019438	0.9360084135587737
GO:0032774 (term-term) GO:0031323	0.5051944706791449
GO:0032774 (term-term) GO:0031325	0.4552466655953721
GO:0032774 (term-term) GO:0031326	0.8523117137722594
GO:0032774 (term-term) GO:0031328	0.5916814023218268
GO:0032774 (term-term-ontology) GO:0009059	2.0
GO:0032774 (term-term-ontology) GO:0016070	2.0
GO:0032870 (term-term) GO:0009725	0.9743006595405959
GO:0032870 (term-term) GO:0009755	0.6661742983751842
GO:0032870 (term-term) GO:0030518	0.6225326450045549
GO:0032870 (term-term) GO:0030520	0.5275008041170798
GO:0032870 (term-term-ontology) GO:0009725	2.0
GO:0032870 (term-term-ontology) GO:0009755	2.0
GO:0033233 (term-term) GO:0016925	0.82891748675246
GO:0033233 (term-term) GO:0019789	0.7954751131221723
GO:0033233 (term-term-ontology) GO:0016925	2.0
GO:0034654 (term-term) GO:0003700	0.4659347051552389
GO:0034654 (term-term) GO:0006351	0.9360084135587737
GO:0034654 (term-term) GO:0006355	0.9270084779975776
GO:0034654 (term-term) GO:0006357	0.7210091813903249
GO:0034654 (term-term) GO:0006366	0.7292262502898663
GO:0034654 (term-term) GO:0009059	0.906216283509005
GO:0034654 (term-term) GO:0009889	0.8966320166320167
GO:0034654 (term-term) GO:0009891	0.5861121709271271
GO:0034654 (term-term) GO:0010468	0.7003165369150484
GO:0034654 (term-term) GO:0010556	0.8970429884867059
GO:0034654 (term-term) GO:0010557	0.5876225956055651
GO:0034654 (term-term) GO:0010604	0.43356068699153577
GO:0034654 (term-term) GO:0016070	0.8101637967240657
GO:0034654 (term-term) GO:0018130	1.0
GO:0034654 (term-term) GO:0019219	0.8481310373792527
GO:0034654 (term-term) GO:0019438	1.0
GO:0034654 (term-term) GO:0031323	0.5352704514975414
GO:0034654 (term-term) GO:0031325	0.4768943393161698
GO:0034654 (term-term) GO:0031326	0.8966320166320167
GO:0034654 (term-term) GO:0031328	0.5861121709271271
GO:0034654 (term-term) GO:0032774	0.9360084135587737
GO:0034654 (term-term-ontology) GO:0018130	2.0
GO:0034654 (term-term-ontology) GO:0019438	2.0
GO:0034654 (term-term-ontology) GO:0032774	2.0
GO:0040008 (term-term) GO:0001558	0.9690326116744313
GO:0040008 (term-term-ontology) GO:0001558	2.0
GO:0042127 (term-term) GO:0008284	0.7059206245933636
GO:0042127 (term-term-ontology) GO:0008284	2.0
GO:0042325 (term-term) GO:0001932	0.9676865885044323
GO:0042325 (term-term) GO:0001934	0.8032916600727961
GO:0042325 (term-term) GO:0006468	0.8121243125719402
GO:0042325 (term-term) GO:0010562	0.7780631515334644
GO:0042325 (term-term) GO:0019220	0.924857028860221
GO:0042325 (term-term) GO:0031399	0.7752362008950772
GO:0042325 (term-term) GO:0031401	0.6901562928434329
GO:0042325 (term-term-ontology) GO:0001932	2.0
GO:0042325 (term-term-ontology) GO:0019220	2.0
GO:0042327 (term-term) GO:0001932	0.8184447300771206
GO:0042327 (term-term) GO:0001934	0.9793002381388533
GO:0042327 (term-term) GO:0006468	0.6685291241793546
GO:0042327 (term-term) GO:0010562	0.941541645111226
GO:0042327 (term-term) GO:0019220	0.7514298284205895
GO:0042327 (term-term) GO:0031399	0.6342055570542214
GO:0042327 (term-term) GO:0031401	0.758988421694089
GO:0042327 (term-term) GO:0042325	0.8232718173287455
GO:0042327 (term-term-ontology) GO:0001934	2.0
GO:0042327 (term-term-ontology) GO:0042325	2.0
GO:0042981 (term-term) GO:0006915	0.9362949599729393
GO:0042981 (term-term) GO:0010941	0.9486597001363016
GO:0042981 (term-term) GO:0012501	0.9121013445938436
GO:0042981 (term-term-ontology) GO:0006915	2.0
GO:0043066 (term-term) GO:0006915	0.6491137275197307
GO:0043066 (term-term) GO:0010941	0.6600392413342052
GO:0043066 (term-term) GO:0012501	0.627959984804356
GO:0043066 (term-term) GO:0042981	0.7062525653304145
GO:0043066 (term-term-ontology) GO:0006915	2.0
GO:0043066 (term-term-ontology) GO:0042981	2.0
GO:0043067 (term-term) GO:0006915	0.9371453999332516
GO:0043067 (term-term) GO:0010941	0.9746807080439166
GO:0043067 (term-term) GO:0012501	0.9380142622051563
GO:0043067 (term-term) GO:0042981	0.9739451233571593
GO:0043067 (term-term) GO:0043066	0.682626721947305
GO:0043067 (term-term-ontology) GO:0010941	2.0
GO:0043067 (term-term-ontology) GO:0012501	2.0
GO:0043067 (term-term-ontology) GO:0042981	2.0
GO:0043069 (term-term) GO:0006915	0.6373090255488507
GO:0043069 (term-term) GO:0010941	0.6773942382559044
GO:0043069 (term-term) GO:0012501	0.6448774355751098
GO:0043069 (term-term) GO:0042981	0.6935177651206942
GO:0043069 (term-term) GO:0043066	0.9805071588752803
GO:0043069 (term-term) GO:0043067	0.7002652519893898
GO:0043069 (term-term-ontology) GO:0012501	2.0
GO:0043069 (term-term-ontology) GO:0043066	2.0
GO:0043069 (term-term-ontology) GO:0043067	2.0
GO:0043401 (term-term) GO:0009725	0.6007067137809187
GO:0043401 (term-term) GO:0009755	0.9500662836942111
GO:0043401 (term-term) GO:0030518	1.0
GO:0043401 (term-term) GO:0030520	0.884339815762538
GO:0043401 (term-term) GO:0032870	0.6225326450045549
GO:0043401 (term-term-ontology) GO:0009755	2.0
GO:0043401 (term-term-ontology) GO:0030518	2.0
GO:0043489 (term-term) GO:0009895	0.5642113382182807
GO:0043489 (term-term) GO:0010608	0.45725264169068225
GO:0043489 (term-term) GO:0031330	0.6203275934481314
GO:0044271 (term-term) GO:0003700	0.4141751296072723
GO:0044271 (term-term) GO:0006351	0.8613496932515338
GO:0044271 (term-term) GO:0006355	0.8524924532919964
GO:0044271 (term-term) GO:0006357	0.6529750479846447
GO:0044271 (term-term) GO:0006366	0.660817363195567
GO:0044271 (term-term) GO:0009059	0.9617241087306291
GO:0044271 (term-term) GO:0009889	0.971215080241148
GO:0044271 (term-term) GO:0009890	0.4276235999143898
GO:0044271 (term-term) GO:0009891	0.5896194295225845
GO:0044271 (term-term) GO:0009893	0.4115085802100231
GO:0044271 (term-term) GO:0010468	0.7705887545237884
GO:0044271 (term-term) GO:0010556	0.9522844354361962
GO:0044271 (term-term) GO:0010557	0.5745802273925156
GO:0044271 (term-term) GO:0010558	0.4208840486867391
GO:0044271 (term-term) GO:0010604	0.46185980449494507
GO:0044271 (term-term) GO:0016070	0.8054575191529656
GO:0044271 (term-term) GO:0018130	0.92467294392134
GO:0044271 (term-term) GO:0019219	0.8443660153223722
GO:0044271 (term-term) GO:0019438	0.92467294392134
GO:0044271 (term-term) GO:0031323	0.5970723468143004
GO:0044271 (term-term) GO:0031325	0.5075240522983306
GO:0044271 (term-term) GO:0031326	0.971215080241148
GO:0044271 (term-term) GO:0031327	0.4276235999143898
GO:0044271 (term-term) GO:0031328	0.5896194295225845
GO:0044271 (term-term) GO:0032774	0.8613496932515338
GO:0044271 (term-term) GO:0034654	0.92467294392134
