Group,WNT,WNT,SHH,SHH,Group3,Group3,Group4,Group4
Attribute,name,correlation,name,correlation,name,correlation,name,correlation
151,ONECUT2,0.575384615384615,ST8SIA1,0.697692307692308,GCLC,0.756923076923077,RHEB,0.836923076923077
152,DSE,0.492307692307692,HIVEP2,0.530769230769231,NKX3-2,0.795384615384615,CACNB3,0.698461538461539
153,TGIF1,0.827692307692308,ZNF43,0.696923076923077,TTYH3,0.532307692307692,CCNH,0.608461538461538
154,ATP8A2,0.727692307692308,GLDC,0.813846153846154,FZD8,0.526153846153846,EBF1,0.78
155,KLHL42,0.686153846153846,RGMB,0.635384615384615,SPATS2L,0.713076923076923,TMEM255A,0.67
156,NGF,0.703846153846154,ZNF93,0.68,FBXO10,0.539230769230769,PITHD1,0.525384615384615
157,CDC42EP3,0.666153846153846,PALM,0.823076923076923,PTPN13,0.512307692307692,RAB12,0.571538461538462
158,SERPIND1,0.57264075467734,HHIP,0.738461538461539,FAM184A,0.638461538461539,RASSF4,0.562307692307692
159,GADD45A,0.856153846153846,TBX15,0.663846153846154,RPP25,0.563076923076923,IL13RA2,0.781538461538462
160,IGSF11,0.705384615384615,POU6F2,0.84,C11orf96,0.706923076923077,CXXC4,0.791538461538462
161,PLAT,0.554615384615385,CPLX1,0.765384615384615,ASUN,0.656923076923077,LRRC4B,0.879230769230769
162,CCDC36,0.673846153846154,FAM43B,0.838461538461538,ENAH,0.64,ANKRD50,0.676153846153846
163,MYADM,0.498461538461538,TSPAN18,0.783076923076923,GRAMD1B,0.898461538461538,BRAP,0.654615384615385
164,NUDT16,0.647692307692308,SOX2,0.821538461538462,LPPR5,0.919230769230769,QSER1,0.578461538461538
165,PTPRN,0.608461538461538,PCBP3,0.819230769230769,NPTX1,0.879230769230769,LRIG2,0.513076923076923
166,CLDN11,0.662307692307692,EGFR,0.808461538461538,LMNB1,0.566923076923077,CA4,0.778461538461538
167,CHRM4,0.747692307692308,RPS5,0.510769230769231,ERLIN1,0.726153846153846,SCRT2,0.545384615384615
168,MYOT,0.765384615384615,FILIP1L,0.6,PSMD14,0.890769230769231,TMTC4,0.685384615384615
169,FZD2,0.694615384615385,SBSPON,0.893076923076923,CTD-3214H19.16,0.714615384615385,TMEM132A,0.616923076923077
170,BACH2,0.622307692307692,UNC5C,0.870769230769231,ZSCAN12,0.577692307692308,RASSF8,0.793846153846154
171,CACNA1D,0.623076923076923,RBMS3,0.784615384615385,MALSU1,0.553076923076923,PDE9A,0.666923076923077
172,NAV3,0.704615384615385,ARHGAP11A,0.636923076923077,SV2C,0.909230769230769,FMN2,0.807692307692308
173,ACSL6,0.724615384615385,KLF6,0.535384615384615,SMYD3,0.54,ST3GAL6,0.82
174,AC069368.3,0.735384615384615,MMS22L,0.645384615384615,LIN28B,0.866051064936904,ST6GAL1,0.844615384615385
175,PLXDC1,0.872307692307692,MYCL,0.947692307692308,PDE6H,0.883404268030891,HIST1H4F,0.927692307692308
176,DSCR4,0.759529250173788,LTB4R,0.536923076923077,EXTL3,0.495384615384615,IFFO2,0.716923076923077
177,SCARA5,0.539772363071322,PCNXL2,0.737692307692308,HKR1,0.519230769230769,NCOA4,0.546923076923077
178,NPFFR1,0.541538461538462,RPS8,0.492307692307692,ELSPBP1,0.845858988234699,TPBG,0.897692307692308
179,PYGL,0.582307692307692,TCF4,0.716153846153846,B3GALTL,0.617692307692308,SCN3B,0.736923076923077
180,SNTG1,0.616923076923077,MYL7,0.648970967957888,KIRREL2,0.536153846153846,MAPK8IP1,0.511538461538461
181,CRYZ,0.74,BNC1,0.713846153846154,C14orf79,0.533076923076923,SEMA3A,0.921538461538462
182,KIAA1199,0.513076923076923,C1orf109,0.513076923076923,WDR31,0.528461538461539,SP2,0.619230769230769
183,MRPL32,0.724615384615385,FARP2,0.505384615384615,TLN2,0.501538461538462,BACH1,0.492307692307692
184,S100A4,0.530769230769231,EMILIN3,0.842307692307692,LNP1,0.555384615384615,IDS,0.523076923076923
185,SVEP1,0.73,KCNK12,0.652307692307692,FAM169A,0.608461538461538,SLC35G1,0.702307692307692
186,TWIST2,0.762167843135043,NELFCD,0.546153846153846,TAP1,0.674615384615385,PRKAR2B,0.733846153846154
187,FSTL4,0.850769230769231,PPP2R2C,0.863846153846154,ALDH4A1,0.757692307692308,SLC9A7,0.596923076923077
188,TAF12,0.493846153846154,MDFIC,0.746153846153846,ACVR2A,0.740769230769231,TWF1,0.594615384615385
189,TMEM2,0.643846153846154,KCNG1,0.665384615384615,ARID3B,0.521538461538462,RADIL,0.729230769230769
190,RNF212,0.635384615384615,TRIM46,0.666923076923077,RAD54L2,0.537692307692308,SULF1,0.618461538461539
191,SHISA2,0.733076923076923,H2AFZ,0.679230769230769,ZNF154,0.71,TMEM117,0.583846153846154
192,ESPNL,0.726923076923077,HSPA12A,0.646923076923077,ZFHX4,0.913076923076923,C3orf70,0.676923076923077
193,STC2,0.621538461538461,AL009178.1,0.735141386939848,LHX9,0.861319500449147,NAA35,0.801538461538462
