Gene,Group,Correlation
CXXC11,SHH,0.796533270469759
FGF13,Group4,0.796153846153846
NLK,Group3,0.796153846153846
PEX5L,Group4,0.796153846153846
PDE3B,SHH,0.796153846153846
NLK,Group4,0.796153846153846
PLCL2,Group4,0.795384615384615
IQSEC2,SHH,0.795384615384615
PCDHB8,Group4,0.795384615384615
FBXO28,Group4,0.795384615384615
RASAL1,Group4,0.795384615384615
DMGDH,Group3,0.795384615384615
NFATC1,SHH,0.795384615384615
NKX3-2,Group3,0.795384615384615
PCCA,WNT,0.795384615384615
DMGDH,Group4,0.795384615384615
MACROD2,Group3,0.795384615384615
AFF2,Group4,0.795384615384615
PPP2R3A,Group4,0.794615384615385
STAMBPL1,WNT,0.793846153846154
BCMO1,Group3,0.793846153846154
STAMBPL1,SHH,0.793846153846154
RASSF8,Group4,0.793846153846154
DCBLD2,Group4,0.793076923076923
CSMD1,SHH,0.793076923076923
CA11,WNT,0.793076923076923
SMAD9,Group3,0.793076923076923
PRKG2,Group3,0.792307692307692
ASPDH,SHH,0.791538461538462
CXXC4,Group4,0.791538461538462
WSCD1,Group3,0.791538461538462
CSPG5,Group4,0.791538461538462
ANKRD6,SHH,0.791538461538462
SLC16A14,Group4,0.790769230769231
GLI2,SHH,0.790769230769231
EPB41L4A-AS2,SHH,0.790769230769231
TAC1,Group3,0.790769230769231
ARL4D,Group3,0.790769230769231
GALNT7,WNT,0.790769230769231
CNTN2,SHH,0.79
MYO3A,SHH,0.79
SCARA3,WNT,0.79
SPIRE1,Group4,0.79
ARHGEF28,WNT,0.79
ITGA7,SHH,0.79
NCMAP,WNT,0.789382588174028
CCSER1,Group4,0.789230769230769
TMSB15A,SHH,0.789230769230769
FZD7,WNT,0.788461538461539
TPD52,Group3,0.788461538461539
XK,Group3,0.788461538461539
DNAH2,WNT,0.788461538461539
SH3GL3,Group4,0.787692307692308
HMGN5,Group3,0.787692307692308
GPR85,SHH,0.787692307692308
PDGFD,WNT,0.786923076923077
FGF9,Group4,0.786923076923077
MYT1L,Group4,0.786923076923077
PHGDH,SHH,0.786923076923077
AKT3,Group4,0.786923076923077
CLMP,SHH,0.786923076923077
PTPRN2,Group4,0.786923076923077
MTMR7,SHH,0.786923076923077
PHGDH,WNT,0.786923076923077
RASGRF2,Group3,0.786923076923077
PTPRD,WNT,0.786153846153846
RORA,WNT,0.786153846153846
SDK1,WNT,0.786153846153846
SMO,SHH,0.785384615384615
FUT8,SHH,0.785384615384615
SMO,WNT,0.785384615384615
C11orf63,Group4,0.785384615384615
SH3D19,WNT,0.785384615384615
PITX1,WNT,0.785151005099021
RBMS3,SHH,0.784615384615385
ARHGAP28,Group3,0.784615384615385
CTD-2162K18.4,Group4,0.783846153846154
PIP4K2A,Group4,0.783846153846154
ERI1,Group3,0.783846153846154
EFNB1,Group4,0.783846153846154
SYK,WNT,0.783846153846154
CDH7,SHH,0.783846153846154
SDC2,SHH,0.783076923076923
CREB3L2,WNT,0.783076923076923
TSPAN18,SHH,0.783076923076923
SLC39A8,WNT,0.782307692307692
DACT1,WNT,0.782307692307692
ABLIM3,SHH,0.782307692307692
MGP,SHH,0.781538461538462
AC007405.2,WNT,0.781538461538462
ALK,WNT,0.781538461538462
SH3PXD2A,Group4,0.781538461538462
IL13RA2,Group4,0.781538461538462
ZNRF3,WNT,0.781538461538462
HS3ST5,SHH,0.780769230769231
CDKL1,WNT,0.780769230769231
EBF1,Group4,0.78
RAI14,SHH,0.78
RAPGEF5,WNT,0.78
RAPGEF5,Group3,0.78
CNTN6,WNT,0.78
FAM126A,SHH,0.779230769230769
BTG2,SHH,0.779230769230769
